sleep,hoursworked,age,goodhealth,male
60.65,41.88333333,27,1,1
38.91666667,48.26666667,36,1,1
46.88333333,42.5,55,1,0
51.46666667,45.78333333,60,0,0
61.83333333,35.45,40,1,0
54.88333333,18.75,29,1,0
54.35,18.75,35,1,0
59,61.53333333,35,1,1
52.93333333,37.08333333,39,1,1
51,39.58333333,23,0,1
59.83333333,35,28,1,1
48.71666667,37.38333333,28,1,0
50.33333333,37.91666667,54,1,0
51.83333333,39.88333333,46,1,0
64.96666667,40.13333333,52,1,0
47.35,40.21666667,30,1,0
54.63333333,40.33333333,40,1,0
52.51666667,21.05,40,1,0
52.75,46.08333333,28,1,1
62,35,36,1,0
61.25,40.41666667,30,1,0
55,53.55,37,1,1
37.5,20,36,0,0
54.96666667,37.93333333,31,1,1
54.08333333,41.25,30,1,1
46.16666667,38.33333333,53,1,0
56.38333333,36.46666667,37,0,0
55.63333333,38.55,29,1,1
55.5,38.33333333,34,0,1
51.63333333,47.13333333,38,1,1
52.63333333,36.66666667,24,1,0
56.73333333,62.46666667,52,1,1
50.63333333,44.68333333,38,0,1
51.91666667,31,36,1,0
43.71666667,72.08333333,60,1,1
50.21666667,38.55,39,1,1
48.25,56.85,50,1,0
24.75,34.58333333,28,1,1
46.16666667,43.11666667,36,1,0
55.13333333,49.58333333,60,1,1
53.5,35.41666667,32,1,1
51.93333333,43.8,56,1,1
53.05,39.8,47,1,1
55.5,47.76666667,61,1,1
51.88333333,36.21666667,29,0,1
48,40.83333333,56,1,1
55.13333333,26.88333333,27,1,1
57.13333333,52.5,45,1,1
66.63333333,22.5,25,1,0
66.08333333,11.66666667,26,0,1
58.58333333,37.5,52,1,0
55.75,32.58333333,33,1,0
60.63333333,35.41666667,37,1,1
44.25,15.63333333,30,1,1
43.63333333,64.48333333,52,1,0
57.5,40.83333333,23,1,1
53.13333333,39.21666667,44,1,0
56.5,42.71666667,33,1,1
51.8,31.05,27,1,0
63.75,35.71666667,65,0,1
62.96666667,26.18333333,30,1,1
50.76666667,42.85,54,1,1
55.55,30.3,29,1,0
76.25,0,49,1,1
54.38333333,37.5,25,1,1
51.88333333,38.55,58,1,0
75.75,13.91666667,40,0,1
64.66666667,47.16666667,40,1,1
55.05,37.1,56,0,1
56.46666667,38.75,45,0,0
54.63333333,35.66666667,52,0,0
56.26666667,43.2,31,1,1
48.25,38.55,27,1,1
53.6,37.71666667,31,1,1
48.83333333,35,30,1,1
52.5,17.91666667,44,1,1
54.13333333,37.3,27,1,1
66.38333333,19.46666667,28,1,0
53.63333333,31.66666667,57,1,1
46.71666667,39.6,33,1,0
50.63333333,30,29,1,1
52.5,49.41666667,32,1,1
56.75,57.76666667,25,1,1
59.13333333,25.63333333,50,1,1
61.16666667,43.33333333,39,0,1
49.35,27.91666667,24,0,1
58.83333333,18.55,31,1,1
44.46666667,40,25,1,1
53.88333333,38.13333333,44,1,1
62.5,37.1,62,1,1
53.38333333,33.35,44,1,1
49.13333333,41.33333333,35,1,0
60.35,43.13333333,34,1,0
60.5,20.21666667,27,1,0
60.51666667,27.5,32,1,1
47.26666667,37.71666667,58,1,1
49,36.05,27,1,0
65.71666667,15.96666667,59,1,1
56.3,53.08333333,23,1,1
69,0,45,0,1
48.13333333,48.85,25,1,1
50.5,18.96666667,52,1,1
61.75,39.38333333,29,1,1
63.25,21.63333333,24,1,0
52.66666667,51.71666667,59,1,1
51.25,54.35,39,1,1
44.63333333,45.91666667,33,1,1
68.55,41.46666667,33,0,1
54.88333333,34.3,58,1,1
46,44.91666667,33,1,1
62,35.21666667,24,1,0
64,25.63333333,47,1,1
55.63333333,22.05,51,1,0
72.88333333,0,44,1,0
48.8,45.58333333,48,1,1
51.5,53.75,36,1,1
45.66666667,39.58333333,54,1,1
41.6,29.36666667,25,1,1
51.63333333,43.35,56,0,0
48.88333333,41.88333333,28,1,1
53.25,29.25,40,1,0
53.55,38.13333333,28,1,1
50.25,44,29,0,1
61.63333333,41.96666667,33,1,1
58.13333333,31.33333333,26,1,1
55.58333333,40.63333333,54,1,1
49.41666667,42.51666667,31,1,1
63.71666667,38.33333333,56,1,1
57.38333333,49.93333333,25,1,0
59.33333333,41.88333333,25,0,1
57.68333333,38.33333333,53,1,1
52.96666667,44.26666667,26,1,1
57.25,32,24,1,1
53.51666667,21.25,45,1,1
60.58333333,7.75,52,0,0
56.3,18.75,23,1,0
63,17.5,32,1,0
45.25,47.5,49,1,0
57.26666667,37.5,44,1,0
54.75,40.85,24,1,1
53.38333333,41.05,34,1,1
61.38333333,35.83333333,54,0,1
52.25,38.75,40,1,1
53.55,54.55,48,1,0
56.08333333,36.71666667,27,1,0
54.63333333,30.88333333,33,1,0
52.5,60.26666667,28,1,1
62.5,32.71666667,62,0,0
56.96666667,18.76666667,64,0,0
48.5,40.83333333,31,1,0
61.38333333,18.75,29,1,1
38.51666667,66.6,36,1,1
56.13333333,51.18333333,44,1,1
57.55,38.75,43,1,1
64.5,37.55,46,1,1
48.68333333,37.71666667,29,1,0
57.3,36.76666667,28,1,1
62.91666667,45.18333333,26,0,1
49.08333333,21.05,62,1,0
54.5,32.66666667,23,1,0
56.75,24.5,35,1,0
58.88333333,49.66666667,32,1,1
55.33333333,34.75,44,1,1
50.5,37.83333333,29,1,0
59.38333333,56.51666667,42,1,1
57.83333333,27.66666667,24,1,0
52.16666667,40.83333333,27,1,0
61,19.38333333,49,0,0
68.55,21.46666667,43,1,1
44.35,41.41666667,40,1,1
35.25,34.16666667,27,0,0
54,17.3,49,1,0
58,20.21666667,27,1,0
67.46666667,25.96666667,26,1,0
49.26666667,19.58333333,44,0,0
49.75,0,31,1,0
45.75,0,28,0,0
56.75,41,47,1,0
52.63333333,38.75,31,1,0
52.3,41.46666667,33,1,0
52.38333333,38.13333333,55,1,0
47.75,37.51666667,24,1,0
64.21666667,19.55,23,1,0
57.25,49.1,42,1,1
53.68333333,19.16666667,26,1,0
55.33333333,36.55,25,1,0
43.88333333,44.38333333,32,1,1
52.63333333,40.21666667,33,1,0
55.88333333,41.25,62,1,0
55.83333333,34.16666667,35,1,0
43,42.91666667,26,1,1
60.55,36.16666667,44,1,0
65.91666667,29.38333333,48,1,0
70.25,42.08333333,51,0,0
45.55,53.76666667,47,1,0
54.5,0,43,1,0
52.13333333,36.21666667,32,1,0
58.58333333,47.38333333,24,1,1
67.8,42.8,28,1,0
64.75,15.21666667,33,1,0
56.83333333,24.95,28,1,0
60.68333333,44.76666667,24,1,0
68.18333333,1.25,24,1,0
45.13333333,38.75,49,1,0
44,42.3,27,1,0
48.63333333,33.96666667,23,1,1
49.71666667,33.75,32,1,0
57,36.75,39,1,1
55.36666667,30.63333333,35,0,1
59.21666667,26.16666667,24,0,0
65.75,18.75,33,1,0
50.3,39.8,40,1,1
47.83333333,30.5,25,1,0
48.18333333,36.05,30,1,0
55.38333333,22.83333333,24,1,0
52.58333333,51.25,25,1,1
68.5,41.75,34,1,0
55.46666667,35.76666667,52,1,0
50.25,32.91666667,25,1,1
53.25,27.5,37,1,1
45.16666667,46.25,26,1,1
48.16666667,39.66666667,26,1,0
59.63333333,22.01666667,65,1,1
45.13333333,40.96666667,32,1,0
68.33333333,52.83333333,27,1,1
63.63333333,6,57,1,0
51,12.5,36,1,0
62.75,35,51,1,1
45.16666667,39.46666667,52,1,0
62.55,22.08333333,24,1,0
65.71666667,40.85,27,1,0
58.41666667,33.21666667,29,1,0
61.55,42.21666667,30,0,1
52.5,27.85,30,1,0
46.33333333,32.5,33,1,1
49.25,21.88333333,37,1,1
49.13333333,30.21666667,27,1,0
50.75,34.15,37,1,1
59.91666667,32.71666667,44,1,0
49.75,0,62,1,1
55.76666667,38.13333333,54,1,0
53.25,36.58333333,23,1,1
51.21666667,34.8,42,1,0
60.13333333,35,32,1,0
48.8,43.43333333,28,1,1
58.75,31.25,32,1,0
65.88333333,39.18333333,57,1,0
53.63333333,38.33333333,50,1,0
64.13333333,35.43333333,35,1,0
62.33333333,8.583333333,28,1,0
59.5,42.66666667,60,1,0
53.63333333,33.76666667,39,1,0
54.25,35,29,1,1
56.05,27.88333333,43,1,1
54.76666667,37.91666667,47,1,0
54.25,45.83333333,33,1,0
59.13333333,36.3,45,1,0
53.01666667,20.13333333,54,1,0
53.13333333,19.58333333,45,1,0
55.3,0,51,1,0
67.16666667,36.55,24,1,0
45.76666667,38.13333333,32,0,0
56.83333333,0,42,1,0
65.71666667,33.55,60,1,0
40.38333333,35.63333333,48,1,0
56.46666667,37.21666667,39,1,0
54.66666667,31.75,36,1,0
56.26666667,6.25,56,1,0
57.63333333,25.63333333,48,1,0
61.83333333,13.13333333,34,1,0
53.26666667,38.21666667,33,1,0
53.43333333,13.96666667,48,0,1
48.01666667,47.76666667,31,1,1
51.88333333,33.85,56,1,0
52.13333333,28.96666667,46,1,0
53.38333333,25.41666667,38,1,0
55.5,5.5,23,0,0
69.66666667,42.83333333,30,1,1
56.13333333,18.21666667,33,1,0
54.91666667,46.75,50,1,0
51.71666667,13.75,51,1,0
56.21666667,1.133333333,35,1,0
53.5,53.38333333,53,1,0
44.96666667,25.88333333,33,1,0
60.55,17.08333333,49,1,0
40.21666667,45.01666667,44,1,0
63.63333333,2.083333333,28,1,0
57,0,64,1,1
53.58333333,6.25,61,1,0
43.71666667,32,32,1,0
44.05,23.46666667,34,1,1
55.88333333,33.25,43,1,0
59.3,26.66666667,25,1,1
47.13333333,20.71666667,39,1,0
52.46666667,33.13333333,60,1,1
62.88333333,0,25,1,0
56.75,6.25,55,1,0
54.63333333,17.51666667,45,1,0
47.8,28.88333333,52,0,0
65,6.05,63,0,0
41.8,20.5,26,1,0
59.25,30.26666667,26,1,0
60.5,10.41666667,58,0,0
53.58333333,0,60,1,0
53,0,31,1,0
65.63333333,9.8,57,1,0
57.76666667,17.5,39,1,0
44.63333333,13.33333333,25,1,0
53.71666667,15,48,1,0
57.13333333,10.63333333,28,1,0
66.11666667,29.18333333,37,0,0
58.75,15,49,1,0
52.38333333,15,48,1,0
61.66666667,6.466666667,26,0,0
54.08333333,5.083333333,27,1,0
33.5,13.46666667,40,1,0
50.91666667,14.58333333,38,1,0
57.63333333,10.21666667,40,1,0
70.58333333,19.71666667,30,1,0
64.83333333,17.5,30,1,0
66.75,8.666666667,34,1,0
62.88333333,5.883333333,33,1,0
57.75,45,26,1,0
57.66666667,0,27,1,0
56,0,23,1,0
64.38333333,0,62,0,0
51.75,0,39,1,0
61.91666667,40.71666667,34,1,1
57.5,16.58333333,44,1,1
62.25,32.91666667,58,1,1
68.25,21.88333333,29,1,0
46.16666667,66.66666667,39,1,1
46,58.63333333,41,1,1
68.33333333,3.133333333,55,1,1
46.66666667,0,28,1,0
47.75,57.3,41,1,1
57.16666667,19.16666667,46,1,1
71.1,48,56,1,1
48.51666667,35,52,1,0
45.76666667,45.66666667,33,1,1
44.38333333,0,47,1,0
49,41.25,35,1,1
44,53,27,1,1
48.83333333,32.5,34,1,0
49.25,37.08333333,26,1,0
59.91666667,41.3,60,1,1
48.41666667,60.8,27,1,1
42.21666667,26.08333333,42,1,0
47,60.25,31,1,0
45.91666667,45.08333333,29,0,1
46.76666667,41.26666667,31,1,1
70,0,65,0,1
40.8,55.41666667,41,1,1
68.25,23.55,36,1,1
39.25,45.43333333,54,1,0
67.5,0,24,1,0
66.5,28.75,56,0,0
66.25,0,28,1,0
45.63333333,41.25,41,1,1
47.46666667,10.63333333,24,1,0
46.96666667,41.75,32,1,1
41.16666667,33.76666667,38,1,1
64.25,6,33,1,0
63.38333333,40.76666667,43,1,1
49,28.75,41,1,0
63.18333333,46.8,34,1,1
63.08333333,13.33333333,31,1,1
62.58333333,18.96666667,55,1,1
62.41666667,15,62,1,0
62.38333333,51.96666667,54,1,1
35.21666667,41.46666667,33,1,1
72.5,8,60,1,1
64.33333333,22.23333333,28,0,0
34.21666667,37.93333333,32,1,1
61.75,15.66666667,32,1,0
61.71666667,49.13333333,30,1,0
39.68333333,46,33,1,0
61.16666667,36.25,38,1,1
60.91666667,7.666666667,47,1,0
60.83333333,29.55,40,1,0
60.71666667,51.41666667,28,1,1
60.63333333,22.91666667,27,1,0
62.21666667,38.13333333,28,1,1
62.08333333,43.6,44,1,1
60.5,14.58333333,25,1,0
60.46666667,0,58,0,1
60.46666667,16.88333333,28,1,0
63.33333333,32.08333333,52,1,0
60.25,40.71666667,27,1,0
60,36.05,42,1,1
59.96666667,39.6,56,1,1
29,48.48333333,50,1,1
59.71666667,41.8,64,0,1
59.66666667,52.76666667,44,1,1
45,36.76666667,33,1,0
59.41666667,35.83333333,44,1,0
59.16666667,40.91666667,24,1,1
59.13333333,1.883333333,32,1,0
59.05,18.13333333,35,1,0
58.96666667,39.8,54,1,1
58.83333333,80.08333333,37,1,1
58.75,32.21666667,28,1,1
58.75,32.5,51,1,0
58.71666667,32.85,54,1,1
65.83333333,8.333333333,32,1,1
73.66666667,40.83333333,38,1,1
64.51666667,34.16666667,46,1,1
58.38333333,15.83333333,26,0,0
58.3,16.91666667,59,1,1
58.13333333,28.58333333,50,1,1
58,18.55,28,1,0
57.96666667,20,57,1,1
57.8,47.85,26,1,1
57.66666667,37.5,56,0,0
57.58333333,47.13333333,31,1,0
25.76666667,55.26666667,36,1,0
57.25,0,53,0,0
57.21666667,12.41666667,63,0,1
12.58333333,44.38333333,23,1,0
57.05,55.63333333,35,1,1
57.05,26.46666667,61,1,1
57,13.83333333,32,1,0
46.55,21.21666667,43,1,1
56.75,35.75,43,1,0
56.75,31.25,55,1,1
56.58333333,33.13333333,32,1,1
56.51666667,48.25,50,1,1
56.5,9.716666667,52,1,0
65.58333333,2.716666667,54,1,1
56.25,48.41666667,40,1,1
56,52.25,49,0,0
56,51.25,50,1,1
55.91666667,0,24,0,1
44.25,44.8,25,1,1
55.63333333,37.71666667,44,1,1
55.63333333,43.13333333,42,1,1
55.5,52.46666667,37,1,1
55.43333333,41.13333333,46,1,1
55.25,25.41666667,29,1,1
55.25,49.13333333,35,1,1
55.16666667,0,25,1,0
55.16666667,47.1,49,1,1
55.13333333,38.76666667,45,1,1
55.13333333,47,25,1,1
54.91666667,41.88333333,57,1,1
54.91666667,52.85,35,1,1
54.75,22.08333333,31,1,0
54.75,41.55,55,1,1
54.51666667,57.35,24,1,0
54.46666667,20.63333333,58,1,1
54.35,43.13333333,52,1,1
54.33333333,59.83333333,33,1,1
54.25,25.8,39,1,0
54.13333333,53.16666667,25,1,1
53.93333333,39.16666667,25,1,0
53.91666667,0,30,1,0
53.83333333,35.83333333,25,1,1
53.75,42.25,42,1,1
53.75,10.63333333,35,1,1
53.75,37.66666667,59,0,0
53.63333333,54.58333333,42,1,1
53.63333333,16.88333333,59,1,0
53.5,40.55,32,1,1
53.38333333,40.83333333,49,1,1
53.35,38.3,54,1,1
53.33333333,39.38333333,58,1,1
53.25,26.3,38,1,1
53.16666667,41.66666667,50,1,0
53.13333333,42.1,46,1,0
53.13333333,42.3,38,1,1
53.01666667,39.88333333,39,1,1
52.93333333,36.05,31,1,0
52.91666667,58.01666667,42,1,1
52.75,36.05,30,1,1
56.5,57.01666667,27,0,1
60.5,38.33333333,54,1,1
52.5,19.8,64,1,1
52.33333333,44.43333333,43,1,1
52.25,25.63333333,29,1,1
60.25,31.46666667,34,1,1
51.83333333,0,23,1,0
51.58333333,38.21666667,31,1,1
51.5,8.966666667,44,1,0
51.21666667,39.18333333,57,1,1
51.13333333,39.55,31,1,0
51.08333333,35.8,23,1,0
59.55,33.55,29,1,1
51,43.38333333,50,1,1
50.66666667,25.16666667,25,1,0
50.46666667,41.88333333,44,1,1
50.38333333,40.3,29,1,1
50.38333333,38.01666667,36,1,0
50.25,19.71666667,47,1,0
50.13333333,37.91666667,52,0,0
49.88333333,45.41666667,61,1,1
49.75,39.8,32,1,0
49.75,33.76666667,45,1,0
58.66666667,11.25,34,0,1
58.5,30.85,37,1,0
49.5,32.68333333,54,1,0
49.5,39.38333333,30,1,0
