sleep,age,minworked,goodhealth,male
3611,29,1445,1,0
3305,44,3050,1,1
3367,26,2250,1,0
2618,32,2763,1,1
3475,59,3008,0,0
3618,26,2941,1,1
3460,32,650,0,0
3250,27,2700,1,1
2648,57,2775,1,0
3045,26,2313,1,1
3065,37,3003,0,1
2875,24,2301,1,1
3090,33,1806,1,1
2798,33,2366,1,1
3610,27,2466,1,1
3403,45,2648,1,1
3656,32,2010,1,1
3348,30,1760,1,1
3130,35,3135,1,0
3213,35,1485,1,0
3855,46,2463,0,1
3138,47,2351,1,1
3203,51,2975,1,1
2930,28,1283,1,1
2448,47,2488,1,1
3556,46,826,0,0
3660,42,2575,1,0
2536,59,2326,1,0
2828,30,2700,1,0
3103,35,1350,1,0
3730,23,1175,1,0
2840,38,2353,1,0
3210,61,1563,1,0
3650,51,600,1,0
2708,55,2501,1,1
3530,33,2250,1,0
4695,52,1533,1,0
3639,27,2513,1,1
2335,36,2896,1,1
2813,55,2550,1,0
3088,60,2747,0,0
3710,40,2127,1,0
3293,29,1125,1,0
3261,35,1125,1,0
3540,35,3692,1,1
3176,39,2225,1,1
3060,23,2375,0,1
3590,28,2100,1,1
2923,28,2243,1,0
3020,54,2275,1,0
3110,46,2393,1,0
3898,52,2408,1,0
2841,30,2413,1,0
3278,40,2420,1,0
3151,40,1263,1,0
3165,28,2765,1,1
3720,36,2100,1,0
3675,30,2425,1,0
3300,37,3213,1,1
2250,36,1200,0,0
3298,31,2276,1,1
3245,30,2475,1,1
2770,53,2300,1,0
3383,37,2188,0,0
3338,29,2313,1,1
3330,34,2300,0,1
3098,38,2828,1,1
3158,24,2200,1,0
3404,52,3748,1,1
3038,38,2681,0,1
3115,36,1860,1,0
2623,60,4325,1,1
3013,39,2313,1,1
2895,50,3411,1,0
1485,28,2075,1,1
2770,36,2587,1,0
3308,60,2975,1,1
3210,32,2125,1,1
3116,56,2628,1,1
3183,47,2388,1,1
3330,61,2866,1,1
3113,29,2173,0,1
2880,56,2450,1,1
3308,27,1613,1,1
3428,45,3150,1,1
3998,25,1350,1,0
3965,26,700,0,1
3515,52,2250,1,0
3345,33,1955,1,0
3638,37,2125,1,1
2655,30,938,1,1
2618,52,3869,1,0
3450,23,2450,1,1
3188,44,2353,1,0
3390,33,2563,1,1
3108,27,1863,1,0
3825,65,2143,0,1
3778,30,1571,1,1
3046,54,2571,1,1
3333,29,1818,1,0
4575,49,0,1,1
3263,25,2250,1,1
3113,58,2313,1,0
4545,40,835,0,1
3880,40,2830,1,1
3303,56,2226,0,1
3388,45,2325,0,0
3278,52,2140,0,0
3376,31,2592,1,1
2895,27,2313,1,1
3216,31,2263,1,1
2930,30,2100,1,1
3150,44,1075,1,1
3248,27,2238,1,1
3983,28,1168,1,0
3218,57,1900,1,1
2803,33,2376,1,0
3038,29,1800,1,1
3150,32,2965,1,1
3405,25,3466,1,1
3548,50,1538,1,1
3670,39,2600,0,1
2961,24,1675,0,1
3530,31,1113,1,1
2668,25,2400,1,1
3233,44,2288,1,1
3750,62,2226,1,1
3203,44,2001,1,1
2948,35,2480,1,0
3621,34,2588,1,0
3630,27,1213,1,0
3631,32,1650,1,1
2836,58,2263,1,1
2940,27,2163,1,0
3943,59,958,1,1
3378,23,3185,1,1
4140,45,0,0,1
2888,25,2931,1,1
3030,52,1138,1,1
3705,29,2363,1,1
3795,24,1298,1,0
3160,59,3103,1,1
3075,39,3261,1,1
2678,33,2755,1,1
4113,33,2488,0,1
3293,58,2058,1,1
2760,33,2695,1,1
3720,24,2113,1,0
3840,47,1538,1,1
3338,51,1323,1,0
4373,44,0,1,0
2928,48,2735,1,1
3090,36,3225,1,1
2740,54,2375,1,1
2496,25,1762,1,1
3098,56,2601,0,0
2933,28,2513,1,1
3195,40,1755,1,0
3213,28,2288,1,1
3015,29,2640,0,1
3698,33,2518,1,1
3488,26,1880,1,1
3335,54,2438,1,1
2965,31,2551,1,1
3823,56,2300,1,1
3443,25,2996,1,0
3560,25,2513,0,1
3461,53,2300,1,1
3178,26,2656,1,1
3435,24,1920,1,1
3211,45,1275,1,1
3635,52,465,0,0
3378,23,1125,1,0
3780,32,1050,1,0
2715,49,2850,1,0
3436,44,2250,1,0
3285,24,2451,1,1
3203,34,2463,1,1
3683,54,2150,0,1
3135,40,2325,1,1
3213,48,3273,1,0
3365,27,2203,1,0
3278,33,1853,1,0
3150,28,3616,1,1
3750,62,1963,0,0
3418,64,1126,0,0
2910,31,2450,1,0
3683,29,1125,1,1
2311,36,3996,1,1
3368,44,3071,1,1
3453,43,2325,1,1
3870,46,2253,1,1
2921,29,2263,1,0
3438,28,2206,1,1
3775,26,2711,0,1
2945,62,1263,1,0
3270,23,1960,1,0
3405,35,1470,1,0
3533,32,2980,1,1
3320,44,2085,1,1
3030,29,2270,1,0
3563,42,3391,1,1
3470,24,1660,1,0
3130,27,2450,1,0
3660,49,1163,0,0
4113,43,1288,1,1
2661,40,2485,1,1
2115,27,2050,0,0
3240,49,1038,1,0
3480,27,1213,1,0
4048,26,1558,1,0
2956,44,1175,0,0
2985,31,0,1,0
2745,28,0,0,0
3405,47,2460,1,0
3158,31,2325,1,0
3138,33,2488,1,0
3143,55,2288,1,0
2865,24,2251,1,0
3853,23,1173,1,0
3435,42,2946,1,1
3221,26,1150,1,0
3320,25,2193,1,0
2633,32,2663,1,1
3158,33,2413,1,0
3353,62,2475,1,0
3350,35,2050,1,0
2580,26,2575,1,1
3633,44,2170,1,0
3955,48,1763,1,0
4215,51,2525,0,0
2733,47,3226,1,0
3270,43,0,1,0
3128,32,2173,1,0
3515,24,2843,1,1
4068,28,2568,1,0
3885,33,913,1,0
3410,28,1497,1,0
3641,24,2686,1,0
4091,24,75,1,0
2708,49,2325,1,0
2640,27,2538,1,0
2918,23,2038,1,1
2983,32,2025,1,0
3420,39,2205,1,1
3322,35,1838,0,1
3553,24,1570,0,0
3945,33,1125,1,0
3018,40,2388,1,1
2870,25,1830,1,0
2891,30,2163,1,0
3323,24,1370,1,0
3155,25,3075,1,1
4110,34,2505,1,0
3328,52,2146,1,0
3015,25,1975,1,1
3195,37,1650,1,1
2710,26,2775,1,1
2890,26,2380,1,0
3578,65,1321,1,1
2708,32,2458,1,0
4100,27,3170,1,1
3818,57,360,1,0
3060,36,750,1,0
3765,51,2100,1,1
2710,52,2368,1,0
3753,24,1325,1,0
3943,27,2451,1,0
3505,29,1993,1,0
3693,30,2533,0,1
3150,30,1671,1,0
2780,33,1950,1,1
2955,37,1313,1,1
2948,27,1813,1,0
3045,37,2049,1,1
3595,44,1963,1,0
2985,62,0,1,1
3346,54,2288,1,0
3195,23,2195,1,1
3073,42,2088,1,0
3608,32,2100,1,0
2928,28,2606,1,1
3525,32,1875,1,0
3953,57,2351,1,0
3218,50,2300,1,0
3848,35,2126,1,0
3740,28,515,1,0
3570,60,2560,1,0
3218,39,2026,1,0
3255,29,2100,1,1
3363,43,1673,1,1
3286,47,2275,1,0
3255,33,2750,1,0
3548,45,2178,1,0
3181,54,1208,1,0
3188,45,1175,1,0
3318,51,0,1,0
4030,24,2193,1,0
2746,32,2288,0,0
3410,42,0,1,0
3943,60,2013,1,0
2423,48,2138,1,0
3388,39,2233,1,0
3280,36,1905,1,0
3376,56,375,1,0
3458,48,1538,1,0
3710,34,788,1,0
3196,33,2293,1,0
3206,48,838,0,1
2881,31,2866,1,1
3113,56,2031,1,0
3128,46,1738,1,0
3203,38,1525,1,0
3330,23,330,0,0
4180,30,2570,1,1
3368,33,1093,1,0
3295,50,2805,1,0
3103,51,825,1,0
3373,35,68,1,0
3210,53,3203,1,0
2698,33,1553,1,0
3633,49,1025,1,0
2413,44,2701,1,0
3818,28,125,1,0
3420,64,0,1,1
3215,61,375,1,0
2623,32,1920,1,0
2643,34,1408,1,1
3353,43,1995,1,0
3558,25,1600,1,1
2828,39,1243,1,0
3148,60,1988,1,1
3773,25,0,1,0
3405,55,375,1,0
3278,45,1051,1,0
2868,52,1733,0,0
3900,63,363,0,0
2508,26,1230,1,0
3555,26,1816,1,0
3630,58,625,0,0
3215,60,0,1,0
3180,31,0,1,0
3938,57,588,1,0
3466,39,1050,1,0
2678,25,800,1,0
3223,48,900,1,0
3428,28,638,1,0
3967,37,1751,0,0
3525,49,900,1,0
3143,48,900,1,0
3700,26,388,0,0
3245,27,305,1,0
2010,40,808,1,0
3055,38,875,1,0
3458,40,613,1,0
4235,30,1183,1,0
3890,30,1050,1,0
4005,34,520,1,0
3773,33,353,1,0
3465,26,2700,1,0
3460,27,0,1,0
3360,23,0,1,0
3863,62,0,0,0
3105,39,0,1,0
3715,34,2443,1,1
3450,44,995,1,1
3735,58,1975,1,1
4095,29,1313,1,0
2770,39,4000,1,1
2760,41,3518,1,1
4100,55,188,1,1
2800,28,0,1,0
2865,41,3438,1,1
3430,46,1150,1,1
4266,56,2880,1,1
2911,52,2100,1,0
2746,33,2740,1,1
2663,47,0,1,0
2940,35,2475,1,1
2640,27,3180,1,1
2930,34,1950,1,0
2955,26,2225,1,0
3595,60,2478,1,1
2905,27,3648,1,1
2533,42,1565,1,0
2820,31,3615,1,0
2755,29,2705,0,1
2806,31,2476,1,1
4200,65,0,0,1
2448,41,3325,1,1
4095,36,1413,1,1
2355,54,2726,1,0
4050,24,0,1,0
3990,56,1725,0,0
3975,28,0,1,0
2738,41,2475,1,1
2848,24,638,1,0
2818,32,2505,1,1
2470,38,2026,1,1
3855,33,360,1,0
3803,43,2446,1,1
2940,41,1725,1,0
3791,34,2808,1,1
3785,31,800,1,1
3755,55,1138,1,1
3745,62,900,1,0
3743,54,3118,1,1
2113,33,2488,1,1
4350,60,480,1,1
3860,28,1334,0,0
2053,32,2276,1,1
3705,32,940,1,0
3703,30,2948,1,0
2381,33,2760,1,0
3670,38,2175,1,1
3655,47,460,1,0
3650,40,1773,1,0
3643,28,3085,1,1
3638,27,1375,1,0
3733,28,2288,1,1
3725,44,2616,1,1
3630,25,875,1,0
3628,58,0,0,1
3628,28,1013,1,0
3800,52,1925,1,0
3615,27,2443,1,0
3600,42,2163,1,1
3598,56,2376,1,1
1740,50,2909,1,1
3583,64,2508,0,1
3580,44,3166,1,1
2700,33,2206,1,0
3565,44,2150,1,0
3550,24,2455,1,1
3548,32,113,1,0
3543,35,1088,1,0
3538,54,2388,1,1
3530,37,4805,1,1
3525,28,1933,1,1
3525,51,1950,1,0
3523,54,1971,1,1
3950,32,500,1,1
4420,38,2450,1,1
3871,46,2050,1,1
3503,26,950,0,0
3498,59,1015,1,1
3488,50,1715,1,1
3480,28,1113,1,0
3478,57,1200,1,1
3468,26,2871,1,1
3460,56,2250,0,0
3455,31,2828,1,0
1546,36,3316,1,0
3435,53,0,0,0
3433,63,745,0,1
755,23,2663,1,0
3423,35,3338,1,1
3423,61,1588,1,1
3420,32,830,1,0
2793,43,1273,1,1
3405,43,2145,1,0
3405,55,1875,1,1
3395,32,1988,1,1
3391,50,2895,1,1
3390,52,583,1,0
3935,54,163,1,1
3375,40,2905,1,1
3360,49,3135,0,0
3360,50,3075,1,1
3355,24,0,0,1
2655,25,2688,1,1
3338,44,2263,1,1
3338,42,2588,1,1
3330,37,3148,1,1
3326,46,2468,1,1
3315,29,1525,1,1
3315,35,2948,1,1
3310,25,0,1,0
3310,49,2826,1,1
3308,45,2326,1,1
3308,25,2820,1,1
3295,57,2513,1,1
3295,35,3171,1,1
3285,31,1325,1,0
3285,55,2493,1,1
3271,24,3441,1,0
3268,58,1238,1,1
3261,52,2588,1,1
3260,33,3590,1,1
3255,39,1548,1,0
3248,25,3190,1,1
3236,25,2350,1,0
3235,30,0,1,0
3230,25,2150,1,1
3225,42,2535,1,1
3225,35,638,1,1
3225,59,2260,0,0
3218,42,3275,1,1
3218,59,1013,1,0
3210,32,2433,1,1
3203,49,2450,1,1
3201,54,2298,1,1
3200,58,2363,1,1
3195,38,1578,1,1
3190,50,2500,1,0
3188,46,2526,1,0
3188,38,2538,1,1
3181,39,2393,1,1
3176,31,2163,1,0
3175,42,3481,1,1
3165,30,2163,1,1
3390,27,3421,0,1
3630,54,2300,1,1
3150,64,1188,1,1
3140,43,2666,1,1
3135,29,1538,1,1
3615,34,1888,1,1
3110,23,0,1,0
3095,31,2293,1,1
3090,44,538,1,0
3073,57,2351,1,1
3068,31,2373,1,0
3065,23,2148,1,0
3573,29,2013,1,1
3060,50,2603,1,1
3040,25,1510,1,0
3028,44,2513,1,1
3023,29,2418,1,1
3023,36,2281,1,0
3015,47,1183,1,0
3008,52,2275,0,0
2993,61,2725,1,1
2985,32,2388,1,0
2985,45,2026,1,0
3520,34,675,0,1
3510,37,1851,1,0
2970,54,1961,1,0
2970,30,2363,1,0
