wage,hours,iq,kww,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,distance
583,80,86,24,12,9,1,30,1,0,1,1,2,2,12,12,60.586452
586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11,67.191742
586,56,98,41,11,18,16,35,1,0,1,1,2,2,,6,40.657051
587,38,117,40,17,8,5,29,1,0,0,0,3,3,12,,66.699493
590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,60.82439
596,40,62,26,12,16,14,33,1,1,1,0,9,8,2,8,55.976158
596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8,53.461567
600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8,43.577084
600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8,42.919853
600,40,127,44,12,8,3,28,0,0,1,0,2,2,9,12,54.269333
600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,23.865576
600,40,87,15,10,20,7,36,1,0,1,0,0,1,5,6,30.879438
600,40,115,40,13,7,7,28,0,0,1,1,4,5,5,,61.037079
600,40,120,45,15,12,1,38,1,0,0,0,3,4,12,,64.131279
600,40,114,36,16,5,4,30,1,0,1,1,2,1,12,12,66.026497
600,80,116,36,12,20,2,38,1,0,0,0,10,10,8,,58.414398
600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,58.197578
601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,59.877724
606,40,86,19,11,13,11,30,1,0,1,0,4,4,3,7,39.486061
610,50,89,21,12,14,4,30,1,0,0,0,1,2,7,6,59.093979
615,50,99,49,15,16,15,38,1,0,0,0,2,3,12,14,64.058243
615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12,62.423973
616,55,104,41,12,16,18,35,1,0,1,1,4,5,9,,59.843937
618,40,84,39,14,6,8,31,0,0,1,1,7,8,7,4,63.234787
618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,57.158123
620,40,99,22,11,10,5,29,1,1,0,1,11,5,,,42.752743
621,43,84,24,12,14,10,31,1,0,1,0,4,3,8,6,48.831295
622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,65.348587
623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,64.830208
624,40,92,40,10,18,10,36,1,0,1,0,2,3,10,6,31.920385
625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,53.4939
625,50,115,31,12,12,8,31,1,0,0,1,2,3,12,,47.910202
625,40,73,24,11,1,1,31,1,0,0,1,3,4,12,12,41.063507
625,40,72,34,9,17,5,34,1,0,1,0,10,7,4,,17.696728
625,40,92,25,16,6,9,33,1,1,1,0,11,1,,,64.986885
625,40,129,40,18,4,5,36,1,0,1,0,3,1,15,15,67.28495
629,60,93,32,12,6,1,30,1,1,1,0,8,3,10,6,60.660599
630,40,103,30,15,14,2,32,1,0,1,0,0,1,11,5,64.268196
635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,67.423698
635,40,105,29,12,15,15,33,1,0,0,0,2,2,10,,54.391457
635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,60.513645
641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11,63.311611
642,45,93,18,12,12,7,30,1,1,1,1,1,2,6,6,49.393497
642,35,87,26,13,9,3,30,1,0,1,0,10,10,4,10,62.285255
644,42,101,38,12,11,5,33,1,0,1,0,4,3,12,,57.172779
645,45,93,39,12,11,3,35,1,0,1,0,7,7,7,8,57.238998
650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,55.127796
650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,50.916958
650,40,97,27,10,14,9,30,1,0,1,0,5,1,12,9,27.967558
650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,51.436771
650,40,99,36,12,13,10,30,1,0,1,0,1,2,12,10,44.427677
651,40,76,30,11,11,2,29,1,1,0,1,7,7,10,11,43.096508
652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,58.890862
654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,61.181049
654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,66.556488
654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10,66.808899
658,40,129,34,16,11,9,30,1,0,0,1,2,1,13,16,64.369133
660,42,101,34,16,12,9,31,1,0,1,1,0,1,12,12,66.010574
661,40,96,25,13,8,6,29,0,0,1,0,3,2,,5,62.086563
662,45,99,27,14,7,2,28,1,1,1,0,6,1,5,5,63.131123
664,60,82,30,16,10,9,34,1,1,1,1,3,4,16,16,65.445343
664,40,105,30,12,8,10,29,1,0,0,1,7,6,12,12,43.848938
666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,66.904533
666,70,117,34,15,8,2,32,1,0,0,1,0,1,,,64.284386
666,50,89,28,12,16,1,34,1,1,1,1,6,1,9,,52.234745
666,40,104,32,12,10,2,29,1,0,0,0,2,3,12,12,49.73941
668,43,109,29,12,11,12,29,1,0,0,0,2,3,8,7,56.079258
670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8,57.942425
670,45,117,33,12,10,3,30,1,0,0,0,5,2,12,,53.525352
670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7,57.730999
673,40,92,34,17,6,4,31,1,0,0,1,5,5,16,12,66.785881
673,40,85,21,12,17,10,35,1,0,0,0,2,2,12,12,48.608406
673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,,57.104263
675,40,110,34,12,6,15,34,1,0,0,1,2,1,7,,58.946739
675,40,77,42,12,20,4,38,1,1,1,1,5,2,12,6,55.984848
680,40,86,35,12,13,9,32,0,0,1,0,6,1,6,7,55.71899
684,45,106,45,13,16,2,38,1,0,1,1,1,1,12,14,61.850937
684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12,62.81992
685,40,93,27,12,17,7,38,0,0,1,1,6,6,8,3,52.726158
686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,36.569706
690,40,119,35,12,9,5,28,1,0,0,1,1,2,8,,60.194901
692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,,57.480621
692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,58.371029
692,50,95,21,12,16,9,34,1,0,1,1,2,2,7,5,59.98616
692,50,92,49,15,9,3,38,1,1,0,1,0,1,8,8,64.252625
693,40,79,36,11,18,3,38,1,0,0,0,3,2,8,8,42.093773
693,40,68,38,12,11,19,35,1,0,1,0,5,2,12,8,59.520226
693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12,53.836426
698,43,97,33,12,10,4,29,1,0,0,1,2,3,8,8,52.953239
700,50,130,29,13,14,1,38,1,0,0,1,1,2,11,14,61.818298
700,45,99,40,12,15,7,32,1,0,1,0,4,2,10,10,54.766331
700,40,73,23,12,17,9,38,1,1,1,0,8,3,,,56.730904
700,40,120,38,16,10,1,29,1,0,1,1,1,1,12,12,66.080559
700,40,82,35,13,10,4,30,1,0,0,1,4,5,8,,61.668472
700,40,81,26,12,13,13,31,1,0,1,0,5,6,8,4,52.029881
705,50,100,44,12,15,12,36,1,0,1,1,1,2,,,57.32719
705,40,89,32,9,19,0,36,1,1,1,1,0,1,,,18.485893
711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12,65.075157
713,40,75,25,12,5,12,36,1,1,1,1,7,4,,,48.067432
714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,65.512909
714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12,48.244347
714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,64.931671
720,50,101,39,13,1,7,29,1,0,0,1,4,2,11,11,61.711548
721,40,100,32,12,8,8,29,1,0,1,1,3,2,12,4,57.411804
721,40,134,38,13,9,9,30,0,0,1,1,3,3,8,8,60.802368
721,40,105,22,12,11,9,30,1,0,0,0,3,2,12,10,52.477283
722,55,113,36,16,8,1,38,0,0,1,1,1,2,8,,64.505829
723,40,98,34,12,15,5,38,1,0,0,1,1,1,9,,59.383629
723,40,102,44,12,12,10,30,1,0,0,1,10,6,12,6,55.521275
726,45,93,32,12,16,5,36,1,0,1,0,5,2,6,,54.157753
727,55,97,29,12,11,11,31,1,0,0,0,3,1,12,11,48.931755
729,60,80,31,11,16,15,34,1,0,0,1,6,1,12,6,41.222271
729,47,122,40,18,6,13,34,1,0,0,1,3,3,8,6,67.211441
732,40,73,28,10,17,5,36,1,0,0,1,5,6,,,35.770107
732,40,104,36,12,10,7,36,1,0,1,1,1,2,,,55.873867
737,48,103,37,12,7,4,30,1,0,0,1,4,4,10,,55.253677
740,50,84,31,10,23,13,38,1,0,0,0,5,1,,9,35.904739
745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8,60.743088
750,45,93,45,11,17,2,36,1,0,0,1,1,2,10,5,41.856918
750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,62.933167
750,50,103,36,15,1,1,37,1,0,1,0,1,1,12,9,63.997898
750,43,94,38,14,12,10,33,1,0,0,0,1,1,11,12,62.985001
750,40,83,27,12,4,10,32,1,1,1,0,7,1,10,6,47.35619
750,60,74,23,10,13,9,30,1,0,0,1,4,2,11,9,26.651272
750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,47.814526
750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12,58.604874
751,40,114,37,13,9,2,28,1,0,1,1,2,2,12,10,61.252083
751,40,96,42,12,9,7,38,1,0,0,0,1,1,10,8,57.565704
751,40,104,32,12,15,4,34,1,0,1,1,4,3,8,3,59.321976
753,46,70,34,10,21,7,38,1,0,1,1,4,2,12,7,36.154041
754,40,55,23,12,13,14,33,1,1,1,0,2,1,10,,53.118454
754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,,61.479301
756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12,63.144051
757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,65.110413
758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12,65.689552
760,40,88,34,12,12,15,31,1,0,1,1,2,1,12,7,57.659515
761,48,95,44,12,14,21,38,1,0,1,1,1,1,12,5,50.324001
762,58,104,37,15,6,4,33,1,0,0,0,2,1,11,12,63.771767
765,45,94,38,12,17,18,37,1,0,0,0,10,6,4,6,59.16605
766,40,109,31,12,17,18,35,1,0,0,0,4,3,,6,49.467182
769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,67.376549
769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8,53.687325
769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,58.662113
769,45,105,29,12,16,5,33,1,0,1,0,4,1,7,7,52.159134
769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,67.042336
769,40,98,37,16,8,3,35,0,0,1,1,0,1,11,8,65.717407
770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,51.756866
770,40,80,25,12,16,14,35,1,0,0,1,1,2,12,12,56.122276
770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,66.513489
774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7,54.060856
779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,55.472366
779,40,85,30,12,14,7,37,1,1,1,1,7,4,12,,59.342648
781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,55.922314
781,40,89,24,11,13,10,30,1,0,0,1,3,1,9,8,42.215286
782,40,92,24,13,9,10,31,1,0,0,1,3,3,8,,61.055901
788,40,96,42,12,13,5,36,1,0,1,1,4,1,12,12,54.213295
788,40,99,20,12,10,10,28,1,0,1,1,4,5,10,3,57.89249
790,40,115,34,12,15,2,34,1,0,0,0,6,5,6,5,45.32465
793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8,58.010735
794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,65.164963
795,52,89,35,11,16,4,34,1,0,0,1,6,1,,,39.997795
795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,52.869934
796,48,119,31,13,16,15,37,1,1,0,1,7,1,11,,61.11174
797,41,89,38,12,10,7,36,1,0,1,0,1,2,7,8,53.224854
797,55,90,36,16,11,5,33,1,0,0,1,5,2,14,17,65.828262
800,45,110,36,12,19,12,36,1,0,0,1,7,8,,,60.162083
800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,60.360641
800,40,112,39,12,15,3,34,1,0,0,1,6,4,7,,51.170738
800,25,75,37,13,14,1,38,1,0,1,1,0,1,12,10,61.690346
800,40,105,42,14,12,12,37,1,0,0,0,3,2,10,12,62.845795
800,40,122,38,16,10,2,31,0,0,1,1,3,3,12,8,65.793129
800,55,106,34,12,17,18,36,1,0,0,0,3,3,8,12,54.483109
800,50,110,35,14,8,5,28,1,0,0,1,3,4,12,10,62.639908
800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,67.029739
800,40,115,38,12,20,12,38,1,0,0,0,7,6,7,8,58.616482
800,43,96,27,12,10,1,29,1,0,1,0,1,1,10,10,60.624207
800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,31.384203
800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,55.359081
800,50,92,28,9,18,13,34,1,0,0,1,0,1,8,8,13.934082
800,45,98,31,12,16,12,33,1,0,0,0,3,4,10,8,58.121071
801,48,100,30,14,6,10,29,1,1,1,1,2,1,,,63.591785
802,40,99,26,12,13,12,29,1,1,1,1,8,6,9,12,60.042168
803,40,120,35,13,4,1,28,1,0,1,1,3,4,10,12,62.278767
808,40,106,34,12,4,3,29,1,0,0,1,1,2,8,7,53.372063
808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,62.208065
808,40,93,26,12,17,9,37,1,1,1,0,4,1,,,54.368332
808,50,101,34,17,8,0,30,1,0,1,1,1,2,15,15,66.459312
808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,64.843948
808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,59.436436
808,40,107,32,16,6,7,29,1,0,0,0,7,6,12,12,64.783791
808,50,101,44,18,8,9,38,1,0,1,0,3,2,17,12,66.867889
809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,49.159409
812,40,131,44,16,9,3,30,0,0,0,0,1,1,12,12,66.252922
812,40,81,20,10,17,13,34,1,1,1,1,2,2,8,3,22.570753
812,45,115,46,16,11,3,34,1,0,0,1,1,2,12,8,66.041458
812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12,51.603783
815,40,114,25,12,15,14,31,1,0,0,0,2,1,12,10,50.146988
817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,53.721695
817,40,101,38,16,11,9,32,1,0,1,1,1,2,0,5,65.212517
817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16,64.977013
818,47,92,41,12,16,17,38,1,0,0,0,12,1,8,4,51.10294
821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,65.532043
824,42,92,37,12,19,15,38,1,0,0,1,1,1,12,11,46.976448
825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,62.872906
826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,62.486462
827,40,105,29,16,7,8,30,1,0,0,1,2,1,16,12,65.920166
829,40,98,33,12,15,15,36,1,0,0,1,4,5,8,8,54.521996
830,44,105,29,14,4,7,29,1,0,0,1,3,1,12,,62.999249
832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,61.005562
833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,,51.964737
833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,65.069817
840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,50.631439
840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,51.576084
841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12,67.327187
841,44,106,40,12,15,10,31,1,0,0,1,5,6,8,,54.192589
841,48,110,37,18,13,1,37,0,1,0,1,1,1,12,12,67.009743
841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,65.231491
843,40,102,32,14,8,7,29,1,0,1,0,1,1,16,16,62.597942
850,35,109,32,12,11,2,31,1,0,0,0,2,2,17,,55.859894
850,40,105,34,12,6,2,33,1,0,0,1,1,1,12,9,60.272823
850,43,111,38,16,8,8,34,1,0,0,1,4,2,,,65.580383
850,44,115,37,12,11,1,29,1,0,0,1,3,2,,,49.229599
850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,56.500183
850,40,97,35,11,16,5,37,1,0,1,1,1,1,12,6,43.482929
850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,40.284351
852,44,89,36,10,13,9,32,1,0,1,1,6,7,9,,37.069546
854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16,65.380661
855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,65.659012
855,45,89,21,12,6,6,31,1,0,1,0,4,3,3,3,52.660614
855,40,118,41,14,6,14,33,1,0,1,0,3,1,,12,62.757778
855,40,109,36,12,17,15,36,1,0,0,0,3,1,7,6,55.796852
855,40,99,44,12,19,10,36,1,0,0,1,1,2,12,12,44.981579
857,35,80,39,10,14,15,33,1,0,0,1,2,1,,12,26.08927
857,65,99,41,12,18,3,38,1,0,1,1,2,1,8,8,55.547863
864,40,87,38,12,15,6,31,1,0,0,0,1,1,12,12,59.292522
865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,64.48436
865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,60.411148
865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,65.560974
865,40,66,30,11,10,7,30,1,0,0,1,14,4,0,10,38.647942
865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,47.258842
865,40,85,44,13,4,9,34,1,0,1,1,3,3,8,8,61.957474
865,40,130,39,16,5,3,30,1,0,0,1,4,2,8,12,65.315918
